,1. Menjadi marah karena hal-hal kecil/sepele ,6. Cenderung bereaksi berlebihan pada situasi ,8. Kesulitan untuk relaksasi/bersantai ,11. Mudah merasa kesal ,12. Merasa banyak menghabiskan energi karena cemas ,14. Tidak sabaran ,18. Ketakutan tanpa alasan yang jelas ,22. Tidak dapat menikmati hal-hal yang saya lakukan ,27. Kesulitan untuk tenang setelah sesuatu yang mengganggu ,29. Sulit untuk antusias pada banyak hal ,32. Merasa tidak berharga ,33. Tidak dapat memaklumi hal apapun yang menghalangi anda untuk menyelesaikan hal yang sedang Anda lakukan ,35. Tidak ada harapan untuk masa depan ,39. Anda Sering Gemetar (bukan karena penyakit fisik),Skor stress,Keterangan
0,1,1,1,1,2,2,3,1,3,1,1,2,1,1,21,Sedang
1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,5,Normal
2,3,3,3,3,3,3,3,3,3,3,0,2,0,3,35,Sangat Parah
3,1,1,2,1,2,2,0,0,1,1,1,2,0,0,14,Sedang
4,1,2,2,2,3,1,3,1,2,0,1,1,2,2,23,Sedang
5,0,0,1,0,1,1,2,1,0,0,1,0,0,0,7,Normal
6,1,2,1,2,0,1,0,2,1,1,1,1,2,0,15,Sedang
7,1,0,0,0,0,0,0,3,1,0,0,0,0,0,5,Normal
8,0,1,1,0,3,3,0,1,2,0,0,2,0,1,14,Sedang
9,1,1,0,1,2,0,1,2,1,0,0,1,0,0,10,Ringan
10,1,1,2,1,2,2,2,1,1,1,2,1,0,1,18,Sedang
11,2,2,2,2,3,2,3,3,3,2,3,2,2,1,32,Parah
12,1,1,0,1,0,2,0,0,0,1,1,0,2,0,9,Normal
13,0,1,1,0,2,1,1,1,2,3,2,1,1,0,16,Sedang
14,1,1,0,0,1,0,2,0,1,0,2,0,0,0,8,Normal
15,1,1,2,1,2,1,3,3,2,1,1,2,1,1,22,Sedang
16,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,Normal
17,0,0,1,1,2,0,1,3,1,2,2,0,1,0,14,Sedang
18,0,0,0,1,1,1,1,0,1,0,2,0,0,1,8,Normal
19,1,1,1,2,2,1,0,1,1,1,2,1,0,0,14,Sedang
20,0,0,2,1,3,1,2,1,1,1,0,0,0,0,12,Ringan
21,1,1,0,2,3,2,1,0,2,1,0,0,0,0,13,Ringan
22,1,2,1,2,3,1,1,0,1,2,1,0,0,0,15,Sedang
23,1,1,1,1,3,3,3,1,1,1,1,1,1,0,19,Sedang
24,1,2,1,1,2,0,1,1,1,1,0,0,0,0,11,Ringan
25,1,1,2,2,3,1,3,2,3,1,2,1,2,1,25,Sedang
26,1,1,0,0,1,1,0,0,1,1,0,1,0,0,7,Normal
27,1,1,0,1,0,2,1,0,1,1,0,0,0,0,8,Normal
28,1,1,2,1,2,1,3,2,2,1,3,1,3,1,24,Sedang
29,1,2,2,2,3,2,2,3,2,2,2,3,3,2,31,Parah
30,2,2,1,1,3,3,1,1,1,1,1,1,0,0,18,Sedang
31,1,1,1,0,2,1,1,1,1,1,0,1,0,0,11,Ringan
32,1,0,0,0,0,0,0,0,0,2,1,0,0,0,4,Normal
33,2,2,2,1,3,1,1,0,3,0,0,0,0,1,16,Sedang
34,1,1,0,1,0,1,0,0,0,1,0,0,0,0,5,Normal
35,2,3,1,2,3,3,2,0,2,0,1,1,0,1,21,Sedang
36,2,2,1,2,3,1,3,0,1,0,0,1,0,3,19,Sedang
37,1,1,0,1,2,2,0,0,3,1,0,0,0,0,11,Ringan
38,1,1,1,1,2,0,2,1,2,1,1,1,0,0,14,Sedang
39,0,2,3,0,3,2,3,3,1,3,0,1,2,0,23,Sedang
40,1,0,2,1,1,0,0,0,1,0,0,1,0,0,7,Normal
